"External ID","Name","Street","Street2","City","State/State Code","State/State Name","Country/Country Code","Country/Country Name","Zip","Timezone","Address Type","Email","Fax","Mobile","Phone","Notes","Contact Reference","Credit Limit","Payable Limit","Website","Is a Company","Supplier","Customer","Employee","Related Company/Name","Customer Payment Term/Payment Term","Job Position"
,"Akei Holdings Company Ltd.","1/F., Block D, Ka Ming Fty","688-690 Castle Peak Road","Kowloon",,,"HK","Hong Kong",,,"Invoice",,"011-86-750-26131178",,"011-86-138-2236-8819",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Aleris Rolled Products, Inc.","25825 Science Park Drive","Suite 400","Beachwood","OH","Ohio","US","United States",44122,,"Invoice",,"216-910-3657",,,,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Alstom Power","801 Pennsylvania Ave NW","Suite #855","Washington D.C.","DC","District of Columbia","US","United States",41018,,"Other",,,,"202 495 4960",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Amcor Rigid Plastics, Inc. ","Attn: Accounts Payable","10521 South Highway M-52","Manchester","MI","Michigan","US","United States",48158,,"Invoice",,,,"734-428-9741",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"American Tooling Center","4111 Mt. Hope Rd",,"Grass Lake","MI","Michigan","US","United States",49240,,"Invoice",,"517-522-8078",,"517-522-8411",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"ArvinMeritor","2135 West Maple Road",,"Troy","MI","Michigan","US","United States",48084,,"Other",,,,"248-435-3602",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Avery Dennison","Attn: Accounts Payable","PO Box 696509","San Antonio","TX","Texas","US","United States",78269,,"Invoice",,"440-815-2269",,,,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-90 Days",
,"Bosch ","Attn: Accounts Payable","1800 W. Central Road","Mount Prospect","IL","Illinois","US","United States",60056,,"Invoice",,"816-629-2323",,"816-392-8540",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Bridgestone","PO Box 1505",,"Findlay","OH","Ohio","US","United States",45839,,"Invoice",,,,"419-294-6989",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Ohio Bureau of Workers Compensation (BWC)","615 W Superior Ave # 6,",,"Cleveland","OH","Ohio","US","United States",44113,,"Other",,,,"216-787-3060",,,50000,,"www.bwclearningcenter.com","TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Caravan Ingredients, Inc.","Attn:  Accounts Payable","7905 Quivira Road","Lenexa","KS","Kansas","US","United States",66215,,"Invoice",,"913-888-4970",,"913-890-5428J",,,50000,,"www.corbion.com","TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Carpenter Technology Corp.","PO Box 14662",,"Reading","PA","Pennsylvania","US","United States","19612-4662",,"Invoice",,,,"610-207-8834",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Consolidated Container Co.","3101 Towercreek Parkway",,"Atlanta","GA","Georgia","US","United States",30339,,"Invoice",,"678-742-4751",,"678-742-4600",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Center for Disease Control & Prev (FMO)","PO Box 15580",,"Atlanta","GA","Georgia","US","United States","30333-0080",,"Invoice",,,,"404-718-8100",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"CertainTeed Corporation","PO Box 6100",,"Southeastern","PA","Pennsylvania","US","United States",19398,,"Invoice",,"336-696-2079",,"336-696-2007",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Cole Tool & Die Company","PO Box 187",,"Mansfield","OH","Ohio","US","United States","44901-0187",,"Invoice",,"419-522-5815",,"419-522-1272",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-60 Days",
,"Denso International America Inc.","Attn: A/P MC:4210","PO Box 5047","Southfield","MI","Michigan","US","United States","48086-5047",,"Invoice",,,,"865-738-2411",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Dow Chemical","2040 Dow Ctr.",,"Midland","MI","Michigan","US","United States",48674,,"Other",,,,"989-636-1556",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Eaton Corporation","NAFSC - 3437","PO Box 818035","Cleveland","OH","Ohio","US","United States","44181-8035",,"Invoice",,"517-789-1718",,"517-789-1161",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"EESCO","2401 Internationale",,"Woodridge","IL","Illinois","US","United States",60517,,"Invoice",,"630-633-2026",,"630-296-2555",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Exxon Mobil Chemical Co.","11440 Hwy 90",,"Beaumont","TX","Texas","US","United States",77713,,"Invoice",,,,"409-860-1526",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Fenner Precision, LLC","Tritton Road",,"Lincoln",,,"UK","United Kingdom","LN6 7AF",,"Invoice",,"717-664-8353",,"717-664-8260",,,50000,,"www.fennerprecision.com","TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Faurecia Interior Systems, Inc.","PO Box 214680",,"Auburn Hills","MI","Michigan","US","United States","48321-4680",,"Invoice",,,,"248-409-3658",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"FTE Automotive USA Inc.","4000 Pinnacle Court",,"Auburn Hills","MI","Michigan","US","United States",48326,,"Invoice",,"248-377-4963",,"248-340-1259",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"General Motors","GFSS","PO Box 982002","EL Paso","TX","Texas","US","United States","79998-2002",,"Invoice",,,,"248-874-4636",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-60 Days",
,"Graham Packaging, Inc.","2401 Pleasant Valley Road",,"York","PA","Pennsylvania","US","United States",17402,,"Other",,"717-848-4836",,"717-849-8775",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Greif, Inc.-US","Accounts Payable","PO Box 8014","Delaware","OH","Ohio","US","United States",43015,,"Invoice",,,,"740-549-6000",,,100000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Greif, Inc.-CA","Accounts Payable","300 University Ave.","Belleville","ON","Ontario","CA","Canada","K8N 5T6",,"Invoice",,,,"613-968-6429",,,100000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Honeywell","ACS Accounts Payable","PO Box 982304","El Paso","TX","Texas","US","United States",79998,,"Invoice",,"514-422-3493",,"514-422-3551",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Industrial Distribution Group","2100 Oaks Parkway",,"Belmount","NC","North Carolina","US","United States",28012,,"Invoice",,,,,,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"International Paper","Shared Services","PO Box 470","Milford","OH","Ohio","US","United States",45150,,"Invoice",,"559-651-0170",,"877-447-2737",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"Kimberly Clark","Accounts Payable","PO BOX 59099","Knoxville","TN","Tennessee","US","United States","37950-9099",,"Invoice",,"(918) 366-5050",,"918-366-5000",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
,"KUKA Assembly and Test Corp.","PO Box 1968",,"Saginaw","MI","Michigan","US","United States",48605,,"Invoice",,"989-777-2922",,"989-777-2111",,,50000,,,"TRUE","FALSE","TRUE","FALSE",,"Net-30 Days",
